,ensemble,model_0,model_1
DSC0,0.0023365209344774485,0.0024557055439800024,0.0022868516389280558
DSC1,0.367615669965744,0.3760001063346863,0.3694061040878296
DSC2,0.270177960395813,0.26072707772254944,0.2622639238834381
DSC3,0.27615585923194885,0.2753371298313141,0.27437901496887207
