,0,1,2,3
0,0.9972449,1.0,0.7471384,0.821715
1,0.99509394,0.7800338,0.86885244,0.8872067
2,0.99638194,0.8382872,0.878268,0.9260809
3,0.9973672,0.9071095,0.864799,0.9283582
4,0.99751335,0.8093995,0.8751666,0.9613734
5,0.9987263,0.7803618,0.89344674,0.9558824
6,0.99899983,0.6259542,0.87240356,0.94043887
7,0.9989667,1.923077e-10,0.7825409,0.9025341
8,0.9988883,1.0,0.7097625,0.9030612
9,0.9984451,0.94535303,0.85941225,0.96151817
10,0.99852765,0.9361472,0.8562038,0.9518144
11,0.9987204,0.9378269,0.86580884,0.9644364
12,0.99855244,0.8632558,0.8852459,0.96330994
13,0.996677,0.055979643,0.7893175,0.9249448
14,0.9957783,5.319149e-11,5.050505e-11,0.02366864
15,0.9911305,1.0,0.39968404,0.20123203
16,0.9957906,0.84725535,0.77395874,0.8505155
17,0.99635714,0.8108974,0.81840706,0.7641379
18,0.9959813,0.729697,0.7609718,0.69201523
19,0.99553776,5.1020407e-11,0.78222996,0.8038898
20,0.99349123,1.2987013e-10,0.56075805,0.81208056
21,0.9960149,2.4390243e-10,0.66452026,0.8097166
22,0.9961176,1.0,0.2431259,2.0408163e-10
23,0.9985942,1.0,5.4347825e-11,1.0
24,0.9985101,1.0,0.7512388,0.889313
25,0.99349886,0.31099194,0.89862126,0.9168081
26,0.99733156,0.7595928,0.9116497,0.9325997
27,0.9969876,0.47246376,0.8923611,0.9436435
28,0.99908644,0.52401745,0.8813906,0.9010043
29,0.998107,5e-11,0.85561496,0.9098712
30,0.99945533,1.0,0.8014842,0.8
31,1.0,1.0,1.0,1.0
32,0.99046946,8.857396e-12,0.841391,0.9482874
33,0.99504334,0.85623187,0.8550805,0.9040512
34,0.99051213,0.74904174,0.88691795,0.94192636
35,0.99658316,0.86085075,0.9047619,0.95609754
36,0.998705,0.93486273,0.8976471,0.9283019
37,0.9978034,0.86150235,0.85714287,0.90275764
38,0.9984351,0.8909427,0.8579285,0.90681005
39,0.99632007,2.0920501e-11,0.8070866,0.48958334
40,0.99977106,7.142857e-10,1.0,6.25e-10
41,0.9978745,1.0,6.8965514e-11,7.518797e-11
42,0.9986281,1.0,0.82292336,0.9624675
43,0.998017,0.021052632,0.7167382,0.87096775
44,0.98734915,0.43065983,0.7917924,0.94693875
45,0.99772334,0.9262727,0.8769231,0.9650137
46,0.99784863,0.93230444,0.8867418,0.9720214
47,0.997844,0.92410904,0.85714287,0.9677827
48,0.9982094,0.929538,0.85204756,0.96731573
49,0.99872017,0.9151847,0.886931,0.9685586
50,0.9988822,0.90338564,0.84686345,0.9650029
51,0.9985469,0.81395346,0.74588233,0.90440387
52,0.99600655,3.846154e-11,0.8136419,0.95614034
