,ensemble,model_0,model_1
DSC0,0.002445788588374853,0.0024665044620633125,0.0024486787151545286
DSC1,0.3729619085788727,0.3720405399799347,0.3635183572769165
DSC2,0.27170342206954956,0.258611261844635,0.25734737515449524
DSC3,0.2801647484302521,0.26935282349586487,0.27078425884246826
