epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
49,0.9322,0.9104,0.9622,0.6274,0.6859,0.7967,0.5909,0.6966,0.8073,0.7282,0.7630,0.8866
50,0.9190,0.9091,0.9621,0.6248,0.6696,0.7736,0.6153,0.7110,0.8235,0.7424,0.7863,0.9016
51,0.9171,0.9110,0.9637,0.6198,0.6759,0.7874,0.5843,0.6978,0.8151,0.7468,0.7550,0.8813
52,0.9164,0.9070,0.9610,0.5956,0.6790,0.7918,0.5834,0.7164,0.8195,0.7242,0.7759,0.8915
53,0.7723,0.8289,0.9249,0.5282,0.6200,0.7494,0.5668,0.6558,0.7931,0.6790,0.7101,0.8534
54,0.8980,0.8905,0.9528,0.6042,0.6628,0.7841,0.6094,0.7094,0.8248,0.7308,0.7740,0.8877
55,0.8753,0.8735,0.9468,0.5918,0.6620,0.7723,0.5703,0.6938,0.7989,0.6650,0.7554,0.8700
56,0.8991,0.9008,0.9580,0.6101,0.6786,0.7911,0.6101,0.7053,0.8229,0.7332,0.7741,0.8847
57,0.9215,0.9090,0.9590,0.5935,0.6778,0.7864,0.5915,0.6989,0.8130,0.7227,0.7773,0.8912
58,0.9266,0.9150,0.9632,0.5985,0.6845,0.7976,0.5820,0.6895,0.7952,0.6918,0.7598,0.8700
59,0.8975,0.8974,0.9576,0.6057,0.6777,0.7943,0.5954,0.6968,0.8201,0.7180,0.7723,0.8987
60,0.9294,0.9171,0.9635,0.6109,0.7005,0.8121,0.6221,0.7125,0.8280,0.7500,0.7791,0.8944
61,0.9239,0.9116,0.9637,0.6091,0.6826,0.7906,0.6096,0.7249,0.8354,0.7253,0.7884,0.8979
62,0.9236,0.9165,0.9641,0.6133,0.6978,0.8014,0.6228,0.7269,0.8325,0.7490,0.7872,0.9007
63,0.9177,0.9134,0.9641,0.6036,0.6909,0.7983,0.6145,0.7198,0.8178,0.7501,0.7883,0.8991
64,0.9266,0.9135,0.9624,0.6158,0.6813,0.7846,0.6141,0.7134,0.8210,0.7303,0.7801,0.8921
65,0.9305,0.9165,0.9646,0.6173,0.6945,0.7949,0.6116,0.7061,0.8209,0.7568,0.7737,0.8945
