epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.1159,0.0089,0.0138,0.1402,0.0405,0.0478,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
1,0.1608,0.0117,0.0142,0.1758,0.0450,0.0575,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
2,0.1508,0.0117,0.0142,0.1825,0.0475,0.0592,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
3,0.1517,0.0108,0.0133,0.1792,0.0458,0.0575,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
4,0.1500,0.0108,0.1458,0.1900,0.0483,0.1285,0.1886,0.0307,0.5083,0.0000,0.0000,0.5210
5,0.1583,0.0117,0.6595,0.1850,0.0450,0.4069,0.1886,0.0307,0.5259,0.0000,0.0000,0.5532
6,0.1542,0.0117,0.6873,0.1825,0.0458,0.4156,0.1886,0.0307,0.4950,0.0000,0.0000,0.5233
7,0.1534,0.0157,0.6860,0.1717,0.0407,0.4176,0.1886,0.0284,0.5488,0.0000,0.0255,0.5712
8,0.1384,0.2635,0.7428,0.1585,0.1861,0.4660,0.1798,0.3740,0.5417,0.0000,0.3901,0.5422
9,0.1437,0.6697,0.7675,0.1503,0.4701,0.4871,0.0931,0.5800,0.5907,0.0009,0.6261,0.5874
10,0.1168,0.7798,0.7959,0.0706,0.5609,0.5241,0.1216,0.5931,0.6447,0.1488,0.6273,0.6741
11,0.4074,0.7879,0.8669,0.3038,0.5791,0.6051,0.5567,0.5916,0.7112,0.7045,0.6439,0.7802
12,0.7386,0.8006,0.9124,0.5349,0.6096,0.6758,0.5989,0.6934,0.7837,0.7515,0.7554,0.8521
13,0.8001,0.8296,0.9243,0.5584,0.6274,0.6917,0.5925,0.6731,0.7741,0.7708,0.7311,0.8411
14,0.8444,0.8453,0.9323,0.5837,0.6451,0.7061,0.5567,0.6368,0.7271,0.7280,0.6753,0.7665
15,0.7862,0.8221,0.9230,0.5538,0.6177,0.6870,0.5079,0.5920,0.7116,0.6604,0.6310,0.7792
16,0.8173,0.8338,0.9335,0.5805,0.6455,0.7126,0.6315,0.7012,0.7946,0.7867,0.7587,0.8615
17,0.8703,0.8640,0.9436,0.6214,0.6734,0.7434,0.6345,0.7124,0.7915,0.7427,0.7757,0.8714
18,0.8831,0.8678,0.9470,0.6280,0.6642,0.7422,0.5723,0.6724,0.7765,0.6907,0.7397,0.8632
19,0.7795,0.8136,0.9263,0.5409,0.6138,0.6907,0.5656,0.6784,0.7837,0.7157,0.7272,0.8320
20,0.8104,0.8364,0.9361,0.5950,0.6505,0.7315,0.6586,0.7049,0.7937,0.7885,0.7652,0.8660
21,0.8770,0.8688,0.9498,0.6351,0.6765,0.7576,0.6435,0.7216,0.8151,0.7579,0.7745,0.8809
22,0.8200,0.8358,0.9334,0.5900,0.6414,0.7203,0.6285,0.6875,0.7905,0.7495,0.7418,0.8609
23,0.8620,0.8671,0.9493,0.6429,0.6763,0.7521,0.6662,0.7004,0.8179,0.7644,0.7692,0.8830
24,0.8806,0.8777,0.9531,0.6445,0.6801,0.7622,0.6552,0.7212,0.8209,0.7779,0.7805,0.8865
25,0.8172,0.8459,0.9379,0.5983,0.6498,0.7351,0.4980,0.5987,0.7132,0.6307,0.6525,0.8020
26,0.7818,0.8145,0.9303,0.5890,0.6376,0.7247,0.6771,0.7353,0.8371,0.7980,0.7866,0.8916
27,0.8294,0.8511,0.9417,0.6353,0.6658,0.7499,0.6265,0.6932,0.8292,0.7472,0.7365,0.8827
28,0.8516,0.8621,0.9488,0.6396,0.6683,0.7649,0.6665,0.6989,0.8153,0.7759,0.7628,0.8822
29,0.8824,0.8756,0.9517,0.6509,0.6869,0.7740,0.6651,0.7290,0.8294,0.7901,0.7788,0.8894
30,0.8871,0.8865,0.9569,0.6560,0.6950,0.7742,0.6529,0.7258,0.8278,0.7710,0.7787,0.8871
31,0.8776,0.8820,0.9564,0.6446,0.6813,0.7647,0.6714,0.7314,0.8339,0.7907,0.7890,0.8946
32,0.8552,0.8590,0.9432,0.6260,0.6637,0.7464,0.5610,0.5981,0.7610,0.6659,0.6307,0.8077
33,0.7912,0.8247,0.9346,0.6236,0.6497,0.7489,0.6581,0.6963,0.8390,0.7565,0.7493,0.8971
34,0.8758,0.8725,0.9534,0.6650,0.6826,0.7731,0.6628,0.7070,0.8201,0.7597,0.7576,0.8825
35,0.8946,0.8872,0.9564,0.6704,0.6962,0.7835,0.6879,0.7188,0.8241,0.8091,0.7778,0.8916
36,0.8391,0.8597,0.9479,0.6617,0.6931,0.7806,0.6832,0.7424,0.8498,0.8033,0.7857,0.9000
37,0.8891,0.8869,0.9570,0.6591,0.7031,0.7874,0.6846,0.7306,0.8417,0.8039,0.7817,0.8996
38,0.8949,0.8904,0.9594,0.6786,0.7112,0.7938,0.6764,0.7480,0.8421,0.7869,0.8033,0.9073
39,0.8442,0.8536,0.9384,0.6300,0.6584,0.7503,0.6199,0.6991,0.8052,0.7694,0.7569,0.8717
40,0.8414,0.8536,0.9440,0.6606,0.6784,0.7666,0.6901,0.7460,0.8340,0.8068,0.8040,0.8996
41,0.8701,0.8787,0.9546,0.6735,0.6986,0.7841,0.6630,0.7444,0.8371,0.7827,0.8014,0.9056
42,0.8303,0.8480,0.9438,0.6389,0.6905,0.7772,0.6151,0.6777,0.8091,0.7701,0.7377,0.8767
43,0.8649,0.8735,0.9550,0.6667,0.6950,0.7863,0.6741,0.7203,0.8321,0.8120,0.7738,0.8921
44,0.8998,0.8912,0.9585,0.6863,0.7072,0.7926,0.6982,0.7445,0.8468,0.8064,0.7948,0.9040
45,0.8927,0.8920,0.9591,0.6758,0.7149,0.7979,0.6933,0.7240,0.8403,0.8041,0.7799,0.8970
46,0.9063,0.8946,0.9593,0.6831,0.7237,0.8082,0.6830,0.7385,0.8371,0.8163,0.7999,0.8999
47,0.9034,0.8968,0.9607,0.6849,0.7232,0.8074,0.6811,0.6989,0.8156,0.8036,0.7695,0.8905
48,0.8277,0.8540,0.9430,0.6258,0.6696,0.7622,0.5768,0.6587,0.8009,0.6748,0.7238,0.8831
49,0.8590,0.8653,0.9495,0.6670,0.7082,0.7906,0.6835,0.7351,0.8361,0.8074,0.7948,0.8985
50,0.8933,0.8880,0.9581,0.6889,0.7242,0.8059,0.6800,0.7634,0.8616,0.8163,0.8109,0.9115
51,0.9040,0.8956,0.9594,0.6785,0.7237,0.8060,0.6576,0.7196,0.8311,0.7987,0.7819,0.8985
52,0.8265,0.8441,0.9408,0.6384,0.6808,0.7652,0.6642,0.7639,0.8603,0.7996,0.8078,0.9050
53,0.8499,0.8687,0.9522,0.6619,0.7055,0.7945,0.6656,0.7302,0.8397,0.7981,0.7863,0.9001
54,0.8978,0.8947,0.9600,0.6850,0.7208,0.8038,0.6694,0.7354,0.8461,0.8079,0.7893,0.9067
55,0.9053,0.8989,0.9616,0.6747,0.7149,0.8030,0.6686,0.7459,0.8439,0.8065,0.8048,0.9059
56,0.8627,0.8773,0.9554,0.6459,0.6992,0.7938,0.6675,0.7430,0.8592,0.8092,0.7910,0.9066
57,0.8933,0.8955,0.9607,0.6693,0.7195,0.8030,0.6343,0.7477,0.8405,0.7892,0.8105,0.9104
58,0.8999,0.9007,0.9611,0.6689,0.7167,0.8000,0.6512,0.7482,0.8494,0.7906,0.7992,0.9109
59,0.9058,0.8997,0.9620,0.6678,0.7151,0.8000,0.6631,0.7417,0.8477,0.8109,0.7959,0.9068
60,0.8052,0.8376,0.9375,0.6374,0.6694,0.7610,0.6249,0.6996,0.8101,0.7820,0.7680,0.8877
61,0.8559,0.8655,0.9476,0.6602,0.7005,0.7826,0.6711,0.7394,0.8390,0.8118,0.7999,0.9055
62,0.8973,0.8937,0.9598,0.6691,0.7157,0.7980,0.6602,0.7583,0.8543,0.8069,0.8121,0.9070
63,0.9115,0.8988,0.9613,0.6723,0.7220,0.8044,0.6703,0.7678,0.8613,0.7990,0.8205,0.9153
64,0.9137,0.9005,0.9611,0.6838,0.7255,0.8086,0.6591,0.7187,0.8333,0.7999,0.7772,0.8914
65,0.8026,0.8393,0.9343,0.6388,0.6805,0.7683,0.6591,0.7065,0.8338,0.7736,0.7630,0.8938
66,0.8678,0.8770,0.9554,0.6716,0.7025,0.7856,0.6976,0.7583,0.8516,0.8110,0.8148,0.9136
67,0.8688,0.8872,0.9589,0.6652,0.7125,0.7957,0.6873,0.7658,0.8588,0.8053,0.8221,0.9148
68,0.8979,0.8937,0.9589,0.6757,0.7176,0.8016,0.6874,0.7385,0.8414,0.8095,0.8103,0.9140
69,0.8884,0.8935,0.9599,0.6655,0.7128,0.7984,0.6698,0.7530,0.8498,0.8018,0.7961,0.9024
70,0.8999,0.8919,0.9588,0.6653,0.7132,0.7984,0.6247,0.7224,0.8379,0.7877,0.7864,0.8981
71,0.8259,0.8509,0.9424,0.6362,0.6805,0.7744,0.6953,0.6873,0.7954,0.8179,0.7622,0.8820
72,0.8812,0.8834,0.9573,0.6746,0.7258,0.8108,0.6776,0.7569,0.8574,0.8093,0.8128,0.9143
73,0.9121,0.8989,0.9610,0.6776,0.7270,0.8105,0.6814,0.7496,0.8484,0.8146,0.8100,0.9098
74,0.8769,0.8931,0.9590,0.6671,0.7150,0.8035,0.6617,0.7345,0.8429,0.7825,0.7972,0.8995
75,0.8866,0.8861,0.9576,0.6757,0.7100,0.7981,0.6730,0.7457,0.8557,0.8124,0.7993,0.9110
76,0.8438,0.8548,0.9429,0.6371,0.6941,0.7857,0.6316,0.6992,0.8133,0.7782,0.7647,0.8887
77,0.8667,0.8748,0.9536,0.6670,0.7105,0.7997,0.6729,0.7620,0.8458,0.8120,0.8164,0.9112
78,0.9036,0.8962,0.9611,0.6916,0.7212,0.8066,0.6744,0.7466,0.8380,0.8163,0.8036,0.9068
79,0.9084,0.9019,0.9619,0.6933,0.7337,0.8165,0.6759,0.7641,0.8550,0.8195,0.8196,0.9155
80,0.9119,0.9004,0.9623,0.6771,0.7164,0.7985,0.6862,0.6921,0.8300,0.8095,0.7433,0.8801
81,0.8991,0.8972,0.9605,0.6814,0.7206,0.8072,0.6611,0.7453,0.8441,0.7955,0.8063,0.9065
