epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
49,0.8777,0.8782,0.9513,0.6795,0.6935,0.7757,0.6660,0.7160,0.8216,0.8027,0.7798,0.8859
50,0.9016,0.8866,0.9525,0.6736,0.6931,0.7769,0.6443,0.7267,0.8338,0.7812,0.7821,0.8916
51,0.9093,0.8901,0.9548,0.6847,0.7024,0.7791,0.6621,0.6966,0.8107,0.8062,0.7594,0.8648
52,0.9071,0.8926,0.9559,0.6767,0.7005,0.7900,0.6683,0.7605,0.8454,0.8133,0.8130,0.9036
53,0.9143,0.8909,0.9550,0.6791,0.7189,0.8075,0.5574,0.6695,0.7670,0.7492,0.7030,0.8113
54,0.7881,0.8364,0.9372,0.5975,0.6574,0.7569,0.6630,0.7072,0.8309,0.7965,0.7607,0.8760
55,0.8786,0.8730,0.9499,0.6602,0.7060,0.7870,0.6686,0.7323,0.8295,0.8115,0.7876,0.8866
56,0.8966,0.8868,0.9552,0.6836,0.7126,0.7990,0.6797,0.7418,0.8408,0.8129,0.8018,0.8987
57,0.9134,0.8922,0.9558,0.6561,0.7205,0.8029,0.6789,0.7348,0.8408,0.8130,0.7900,0.8925
58,0.9006,0.8938,0.9570,0.6538,0.7101,0.7865,0.6425,0.7112,0.8312,0.7809,0.7671,0.8908
59,0.8566,0.8725,0.9498,0.6388,0.6896,0.7732,0.6575,0.7235,0.8255,0.8019,0.7840,0.8856
60,0.8933,0.8881,0.9550,0.6863,0.7097,0.8000,0.6733,0.7167,0.8179,0.8080,0.7798,0.8848
61,0.9180,0.8944,0.9581,0.6820,0.7170,0.7968,0.6528,0.7294,0.8328,0.7953,0.7848,0.8838
62,0.8976,0.8870,0.9542,0.6743,0.7162,0.8041,0.6439,0.7403,0.8328,0.7911,0.7989,0.8908
63,0.7630,0.8245,0.9299,0.6161,0.6670,0.7548,0.5458,0.5731,0.6962,0.7185,0.6110,0.7427
64,0.7880,0.8372,0.9370,0.6278,0.6750,0.7664,0.6434,0.7142,0.8202,0.7963,0.7599,0.8685
65,0.8694,0.8721,0.9500,0.6612,0.7068,0.7932,0.6574,0.7514,0.8448,0.7987,0.8018,0.8960
66,0.9054,0.8886,0.9554,0.6891,0.7145,0.7952,0.6507,0.7415,0.8368,0.8030,0.7908,0.8889
67,0.9064,0.8917,0.9546,0.6791,0.7168,0.7994,0.6752,0.7058,0.8230,0.8089,0.7565,0.8860
68,0.9187,0.8951,0.9577,0.6792,0.7227,0.8082,0.6458,0.7551,0.8374,0.7801,0.8087,0.9014
69,0.8305,0.8552,0.9411,0.6507,0.6889,0.7825,0.6387,0.6950,0.8053,0.7813,0.7610,0.8748
70,0.8557,0.8659,0.9487,0.6502,0.7081,0.8044,0.6643,0.7275,0.8410,0.7996,0.7802,0.8857
71,0.8847,0.8854,0.9551,0.6733,0.7158,0.7980,0.6458,0.7297,0.8417,0.7772,0.7944,0.9007
