,ensemble,model_0,model_1
DSC0,0.0024261032231152058,0.0026348012033849955,0.002421001670882106
DSC1,0.3548998534679413,0.3700827956199646,0.354165256023407
DSC2,0.25347357988357544,0.25275012850761414,0.2415270060300827
DSC3,0.25541090965270996,0.260635107755661,0.24878832697868347
