epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
49,0.9033,0.8867,0.9560,0.6791,0.7001,0.7840,0.6709,0.7455,0.8476,0.7987,0.8118,0.9105
50,0.8800,0.8844,0.9577,0.6711,0.6992,0.7842,0.6710,0.7074,0.8161,0.8108,0.7685,0.8749
51,0.8993,0.8889,0.9570,0.6699,0.7015,0.7859,0.6672,0.7381,0.8449,0.8049,0.8042,0.9106
52,0.9144,0.8979,0.9606,0.6769,0.7021,0.7861,0.6684,0.7292,0.8296,0.8126,0.7901,0.8878
53,0.7925,0.8307,0.9356,0.6025,0.6565,0.7473,0.6760,0.7180,0.8260,0.8118,0.7753,0.8910
54,0.8698,0.8714,0.9532,0.6773,0.7019,0.7821,0.6756,0.7217,0.8285,0.8162,0.7798,0.8908
55,0.8970,0.8891,0.9582,0.6858,0.7078,0.7893,0.6903,0.7511,0.8461,0.8253,0.8175,0.9091
56,0.9061,0.8961,0.9599,0.6780,0.7124,0.7945,0.6463,0.7350,0.8357,0.8054,0.7911,0.8948
57,0.8570,0.8650,0.9460,0.6478,0.6783,0.7664,0.6678,0.7425,0.8426,0.7878,0.7835,0.8897
58,0.8721,0.8823,0.9565,0.6614,0.7030,0.7804,0.6643,0.7374,0.8354,0.7960,0.8012,0.9059
59,0.9152,0.8963,0.9595,0.6760,0.7093,0.7863,0.6793,0.7428,0.8447,0.8205,0.7974,0.9029
60,0.9127,0.8964,0.9593,0.6886,0.7110,0.7913,0.6955,0.7618,0.8529,0.8201,0.8225,0.9152
61,0.8972,0.8972,0.9599,0.6743,0.7086,0.7904,0.6304,0.7239,0.8335,0.7843,0.7915,0.9082
62,0.8114,0.8468,0.9419,0.6172,0.6700,0.7652,0.6140,0.7334,0.8304,0.7515,0.7859,0.8910
63,0.8732,0.8794,0.9527,0.6551,0.7031,0.7894,0.6774,0.7534,0.8348,0.8218,0.8093,0.8964
64,0.9162,0.8961,0.9597,0.6762,0.7091,0.7865,0.6672,0.7332,0.8269,0.8161,0.7944,0.8925
65,0.9187,0.8997,0.9589,0.6692,0.7176,0.7966,0.6595,0.7467,0.8392,0.8216,0.8034,0.8989
66,0.8432,0.8666,0.9466,0.6470,0.6863,0.7688,0.6274,0.7430,0.8466,0.7554,0.7962,0.9042
67,0.8830,0.8827,0.9560,0.6685,0.7080,0.7917,0.6761,0.7476,0.8418,0.8111,0.8121,0.9134
68,0.9115,0.8974,0.9588,0.6760,0.7128,0.7983,0.6906,0.7445,0.8376,0.8108,0.8046,0.9082
69,0.8684,0.8737,0.9495,0.6529,0.6883,0.7807,0.5654,0.6532,0.7602,0.6850,0.6919,0.8129
70,0.8639,0.8719,0.9522,0.6716,0.6943,0.7746,0.6357,0.7478,0.8513,0.7877,0.7932,0.9030
71,0.8992,0.8915,0.9592,0.6788,0.7111,0.7909,0.6754,0.7083,0.8160,0.8096,0.7600,0.8766
72,0.9150,0.8999,0.9611,0.6780,0.7204,0.8015,0.6728,0.7655,0.8584,0.8184,0.8176,0.9138
73,0.9145,0.9028,0.9617,0.6782,0.7195,0.7983,0.6421,0.7432,0.8346,0.7991,0.8114,0.9122
74,0.8990,0.8991,0.9592,0.6780,0.7139,0.7949,0.6401,0.7473,0.8409,0.7831,0.8019,0.9094
75,0.7909,0.8391,0.9363,0.6280,0.6570,0.7525,0.5772,0.7144,0.8192,0.6721,0.7673,0.8882
76,0.8398,0.8576,0.9466,0.6582,0.6775,0.7724,0.6607,0.7563,0.8457,0.8127,0.8093,0.9112
77,0.8976,0.8860,0.9562,0.6789,0.7098,0.7948,0.6659,0.7496,0.8379,0.8138,0.8051,0.9055
78,0.9062,0.8963,0.9599,0.6820,0.7121,0.7966,0.6531,0.7353,0.8301,0.8036,0.7951,0.8978
79,0.9148,0.8992,0.9595,0.6891,0.7170,0.7963,0.6755,0.7534,0.8495,0.8214,0.8113,0.9166
80,0.9023,0.9011,0.9614,0.6861,0.7067,0.7859,0.6748,0.7239,0.8264,0.8238,0.7817,0.8859
81,0.9155,0.9005,0.9606,0.6919,0.7202,0.7998,0.6533,0.7641,0.8452,0.8045,0.8145,0.9003
82,0.9013,0.8972,0.9587,0.6812,0.7086,0.7919,0.6478,0.6867,0.7997,0.7899,0.7459,0.8658
83,0.8002,0.8490,0.9405,0.6154,0.6808,0.7726,0.6533,0.7242,0.8275,0.8140,0.7822,0.8948
84,0.8942,0.8896,0.9574,0.6598,0.7044,0.7902,0.6593,0.7462,0.8372,0.8136,0.8045,0.9011
85,0.9154,0.8993,0.9601,0.6788,0.7110,0.7964,0.6592,0.7439,0.8309,0.8005,0.8021,0.9017
86,0.9170,0.9022,0.9606,0.6736,0.7197,0.8022,0.6573,0.7279,0.8340,0.7856,0.7848,0.8999
87,0.9125,0.9003,0.9607,0.6763,0.7194,0.7939,0.6593,0.7523,0.8515,0.8109,0.8018,0.9065
88,0.9092,0.9012,0.9607,0.6787,0.7184,0.7998,0.6526,0.7227,0.8250,0.8035,0.7851,0.8976
89,0.8441,0.8592,0.9476,0.6332,0.6887,0.7732,0.6615,0.7266,0.8267,0.8108,0.7907,0.8966
90,0.8945,0.8864,0.9559,0.6717,0.7152,0.7932,0.6818,0.7495,0.8394,0.8113,0.8129,0.9063
91,0.9164,0.8974,0.9608,0.6812,0.7254,0.8054,0.6910,0.7481,0.8386,0.8147,0.8112,0.9050
92,0.9194,0.9018,0.9606,0.6946,0.7294,0.8008,0.6768,0.7488,0.8397,0.8125,0.8104,0.9054
93,0.9253,0.9058,0.9622,0.6984,0.7269,0.8057,0.6892,0.7566,0.8437,0.8116,0.8197,0.9108
94,0.9331,0.9079,0.9619,0.6949,0.7324,0.8125,0.6803,0.7565,0.8440,0.8140,0.8178,0.9094
95,0.9337,0.9113,0.9635,0.6961,0.7300,0.8042,0.6868,0.7476,0.8398,0.8121,0.8125,0.9081
96,0.9368,0.9128,0.9642,0.6883,0.7278,0.8054,0.6830,0.7534,0.8420,0.8178,0.8144,0.9076
97,0.9394,0.9150,0.9656,0.7024,0.7277,0.8083,0.6691,0.7487,0.8380,0.8108,0.8135,0.9069
98,0.9405,0.9151,0.9648,0.6973,0.7308,0.8095,0.6749,0.7524,0.8410,0.8154,0.8156,0.9070
99,0.9417,0.9177,0.9657,0.6966,0.7269,0.8065,0.6656,0.7591,0.8459,0.8149,0.8199,0.9113
100,0.9414,0.9186,0.9658,0.7017,0.7356,0.8114,0.6696,0.7591,0.8484,0.8120,0.8183,0.9114
101,0.9402,0.9205,0.9669,0.6996,0.7314,0.8099,0.6648,0.7574,0.8458,0.8192,0.8146,0.9075
102,0.9421,0.9212,0.9672,0.6983,0.7298,0.8081,0.6659,0.7554,0.8463,0.8131,0.8149,0.9102
103,0.9465,0.9219,0.9667,0.7010,0.7352,0.8140,0.6675,0.7541,0.8432,0.8191,0.8131,0.9076
104,0.9402,0.9227,0.9676,0.7004,0.7292,0.8062,0.6564,0.7517,0.8447,0.8147,0.8125,0.9082
105,0.9453,0.9235,0.9673,0.6872,0.7325,0.8111,0.6606,0.7510,0.8421,0.8096,0.8123,0.9076
106,0.9450,0.9245,0.9674,0.7038,0.7335,0.8114,0.6678,0.7509,0.8421,0.8119,0.8122,0.9089
107,0.9475,0.9253,0.9678,0.7086,0.7330,0.8108,0.6620,0.7535,0.8454,0.8119,0.8112,0.9079
108,0.9437,0.9256,0.9676,0.7048,0.7312,0.8115,0.6670,0.7627,0.8521,0.8141,0.8201,0.9135
109,0.9490,0.9264,0.9688,0.7086,0.7352,0.8152,0.6696,0.7540,0.8472,0.8155,0.8146,0.9122
110,0.9486,0.9263,0.9680,0.7007,0.7349,0.8121,0.6673,0.7545,0.8414,0.8153,0.8169,0.9111
111,0.9444,0.9271,0.9699,0.7035,0.7329,0.8113,0.6650,0.7612,0.8535,0.8172,0.8170,0.9143
112,0.9458,0.9276,0.9682,0.7028,0.7332,0.8130,0.6659,0.7560,0.8480,0.8171,0.8139,0.9104
113,0.9471,0.9287,0.9702,0.7087,0.7309,0.8100,0.6677,0.7544,0.8497,0.8184,0.8106,0.9093
114,0.9506,0.9295,0.9691,0.7062,0.7356,0.8132,0.6602,0.7542,0.8456,0.8145,0.8140,0.9109
115,0.9494,0.9293,0.9695,0.7035,0.7342,0.8134,0.6620,0.7547,0.8431,0.8138,0.8139,0.9110
116,0.9480,0.9296,0.9690,0.7006,0.7366,0.8129,0.6635,0.7555,0.8468,0.8162,0.8150,0.9113
117,0.9477,0.9307,0.9700,0.7136,0.7328,0.8141,0.6677,0.7561,0.8440,0.8158,0.8168,0.9128
118,0.9492,0.9308,0.9691,0.7020,0.7322,0.8103,0.6643,0.7516,0.8445,0.8127,0.8128,0.9109
119,0.9436,0.9281,0.9685,0.7002,0.7332,0.8086,0.6651,0.7528,0.8409,0.8133,0.8149,0.9095
120,0.9485,0.9310,0.9705,0.7037,0.7313,0.8127,0.6622,0.7483,0.8377,0.8132,0.8112,0.9089
121,0.9502,0.9308,0.9704,0.7119,0.7351,0.8128,0.6701,0.7461,0.8393,0.8175,0.8083,0.9081
122,0.9534,0.9327,0.9697,0.7055,0.7284,0.8118,0.6698,0.7530,0.8421,0.8162,0.8150,0.9104
