,ensemble,model_0,model_1
DSC0,0.9973337054252625,0.9972226619720459,0.9971411228179932
DSC1,0.817405641078949,0.8081827759742737,0.8116379380226135
DSC2,0.8357421159744263,0.8287651538848877,0.817554771900177
DSC3,0.9208000302314758,0.9134300351142883,0.9132164120674133
HD0,14.557430267333984,25.284271240234375,23.525571823120117
HD1,5.325596809387207,8.81147289276123,8.676856994628906
HD2,3.8773183822631836,8.104109764099121,7.099612236022949
HD3,2.9943454265594482,5.87855863571167,4.913793087005615
