epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.0904,0.1192,0.0353,0.0690,0.1108,0.0295,0.0905,0.1801,0.0341,0.0036,0.2030,0.0181
1,0.0520,0.3298,0.0067,0.0346,0.3040,0.0175,0.0756,0.3166,0.0184,0.0701,0.3432,0.0008
2,0.1704,0.3664,0.0115,0.0962,0.3324,0.0130,0.1435,0.3776,0.0062,0.1696,0.3993,0.0021
3,0.2770,0.3855,0.0405,0.1586,0.3467,0.0364,0.2030,0.3572,0.0947,0.2031,0.3772,0.0909
4,0.3614,0.3489,0.3165,0.1959,0.3047,0.2182,0.2091,0.1281,0.4939,0.2183,0.1272,0.5336
5,0.4225,0.0716,0.6830,0.2156,0.0375,0.4349,0.2015,0.0262,0.5200,0.1762,0.0275,0.5703
6,0.4425,0.0278,0.7011,0.2597,0.0185,0.4601,0.1891,0.0220,0.4725,0.2839,0.0001,0.5073
7,0.5414,0.0799,0.7386,0.3597,0.0362,0.4793,0.4141,0.1890,0.6107,0.5980,0.2062,0.6747
8,0.6265,0.5587,0.8474,0.4164,0.2994,0.5629,0.3512,0.3362,0.5636,0.4515,0.3630,0.6379
9,0.6432,0.7789,0.9033,0.4066,0.4753,0.6310,0.2078,0.4915,0.6678,0.2116,0.5352,0.7423
10,0.6777,0.8043,0.9190,0.4148,0.5165,0.6492,0.4085,0.6367,0.7593,0.5726,0.6883,0.8294
11,0.7073,0.8115,0.9170,0.4380,0.5426,0.6860,0.4243,0.6225,0.7631,0.6080,0.6662,0.8259
12,0.7639,0.8551,0.9383,0.4623,0.5628,0.6978,0.3586,0.6472,0.7735,0.4287,0.6951,0.8417
13,0.7859,0.8537,0.9397,0.4419,0.5650,0.6987,0.4513,0.6357,0.7766,0.5383,0.6833,0.8288
14,0.8208,0.8697,0.9433,0.4715,0.5815,0.7147,0.4717,0.5531,0.7385,0.6219,0.6021,0.7955
15,0.8482,0.8727,0.9454,0.4750,0.6051,0.7301,0.4922,0.6481,0.7912,0.6310,0.6961,0.8533
16,0.6715,0.7664,0.8965,0.3769,0.4958,0.6418,0.4396,0.6013,0.7405,0.4972,0.6575,0.8153
17,0.8155,0.8548,0.9419,0.4704,0.5722,0.7011,0.4911,0.6457,0.7622,0.5922,0.7057,0.8411
