,0,1,2,3
0,0.99769366,0.6274788,0.84913856,0.92275476
1,0.997914,0.87707216,0.8029613,0.93391955
2,0.997654,0.91618633,0.8095988,0.8939888
3,0.99775285,0.8516477,0.84448564,0.90604603
4,0.9920236,0.48671135,0.3780338,0.6604759
5,0.9981027,0.9036835,0.8868295,0.9691014
6,0.9958888,0.2803401,0.7710652,0.94289094
7,0.99797696,0.82299846,0.87242043,0.9255311
8,0.9981982,0.8570619,0.82267386,0.93446326
9,0.99389416,0.70457923,0.6404767,0.85649353
10,0.9971143,0.8555452,0.8624632,0.956315
11,0.9959563,0.7486333,0.76821995,0.91051215
12,0.9969129,0.8975998,0.8792028,0.94195735
13,0.99779665,0.9280043,0.8418601,0.9555643
14,0.99574023,0.8570459,0.75087404,0.90501845
15,0.9973466,0.8379982,0.8470844,0.9567974
16,0.99874276,0.91596437,0.9020653,0.969636
17,0.998222,0.87222075,0.84129864,0.9262832
18,0.99779046,0.9183008,0.8559393,0.96132547
19,0.99664897,0.79463476,0.85695744,0.9125745
20,0.99835974,0.9445898,0.9032453,0.97128534
21,0.9925179,0.6943085,0.41316158,0.4822576
22,0.99669,0.8529374,0.7498011,0.92323583
23,0.9989223,0.88764465,0.8371797,0.90987533
24,0.9984207,0.9323602,0.8707991,0.9668266
