,0,1,2,3
0,0.99747235,0.5335753,0.8445428,0.9096223
1,0.9976784,0.8575495,0.7613047,0.9304745
2,0.9973952,0.90011245,0.7896426,0.8864601
3,0.9971161,0.7768521,0.8368109,0.90780383
4,0.99309826,0.6149495,0.4271151,0.6782916
5,0.9979693,0.88685834,0.87819856,0.9622889
6,0.9957419,0.24240915,0.7690433,0.93312883
7,0.99779266,0.8004798,0.8566245,0.9154182
8,0.9981465,0.86481196,0.7913108,0.9312977
9,0.99420553,0.6881633,0.63774294,0.83084005
10,0.9971981,0.83496946,0.8585827,0.9467642
11,0.995409,0.7092309,0.74987185,0.90272313
12,0.9968935,0.89157695,0.85574436,0.9262454
13,0.9974389,0.9084589,0.83430475,0.9500112
14,0.99608064,0.856179,0.73740244,0.91646326
15,0.99671215,0.8554444,0.8146431,0.9339089
16,0.9984966,0.8998374,0.89152455,0.966396
17,0.99826497,0.8719507,0.8321021,0.9113941
18,0.99774504,0.9163314,0.8456176,0.95788175
19,0.9956727,0.7418897,0.82723576,0.8822244
20,0.9981759,0.9362407,0.8860998,0.96401435
21,0.9919503,0.65280336,0.36539692,0.5119117
22,0.996163,0.8050493,0.72104406,0.9052658
23,0.9985912,0.8366278,0.8139498,0.8938967
24,0.99812275,0.9181169,0.83726585,0.9566554
