,ensemble,model_0,model_1
DSC0,0.9969310760498047,0.9968010187149048,0.9967623949050903
DSC1,0.7998520731925964,0.7977147102355957,0.7902542948722839
DSC2,0.7945761680603027,0.771405816078186,0.7906241416931152
DSC3,0.9102235436439514,0.9077659845352173,0.8961775302886963
HD0,18.519746780395508,25.4808406829834,31.19166374206543
HD1,5.281227111816406,9.213890075683594,9.047380447387695
HD2,4.412999153137207,7.652343273162842,7.693670749664307
HD3,3.2251172065734863,5.663182258605957,5.3845343589782715
