,0,1,2,3
0,0.99686015,4.854369e-11,0.80416393,0.95760405
1,0.9981513,0.9592782,0.8860353,0.96143055
2,0.9972425,0.95469433,0.82906383,0.9505024
3,0.99733573,0.9286354,0.85895556,0.9469579
4,0.9971386,0.92095,0.8424697,0.95882595
5,0.998087,0.90448546,0.8680172,0.96558315
6,0.9982951,0.87816846,0.83458024,0.95964783
7,0.9987832,0.8638298,0.8601036,0.9554404
8,0.9973296,5.1546392e-11,0.43360433,0.6735751
9,1.0,1.0,1.0,1.0
10,0.98683286,6.4557778e-12,0.80631024,0.9437288
11,0.9944764,0.8416712,0.8724002,0.91721135
12,0.9909001,0.7642713,0.9069264,0.95956135
13,0.9977354,0.9275068,0.89947647,0.9429719
14,0.9977325,0.9447558,0.851087,0.94151485
15,0.9987027,0.9471436,0.87716657,0.9636099
16,0.9987705,0.94792897,0.87971276,0.94956523
17,0.99729335,0.5865522,0.825,0.8181818
18,0.9998779,7.142857e-10,5e-09,1.0
19,0.99836034,0.962963,0.8981019,0.9734513
20,0.99758655,0.9367403,0.9032258,0.9725916
21,0.9979659,0.9425926,0.8947368,0.97846687
22,0.99851847,0.94095385,0.8880223,0.97686374
23,0.99885064,0.94266057,0.8722861,0.96203554
24,0.9984381,0.8758503,0.862897,0.96566755
25,0.99871373,0.7443609,0.82288826,0.93448275
26,0.9990701,3.3333333e-10,0.75095785,0.90274316
27,0.99415183,0.8362005,0.87007874,0.95520234
28,0.9970671,0.9250658,0.8678103,0.95191294
29,0.9972168,0.9228751,0.8573066,0.95708317
30,0.99626696,0.84003574,0.839832,0.9533191
31,0.99654603,0.65393794,0.6894502,0.91626567
32,0.99722964,3.9215686e-11,0.56702256,0.8736413
33,0.9980387,1.1235955e-10,0.5527747,0.83598876
34,0.99844885,1.0,7.0921984e-11,1.6129033e-10
35,0.9967417,0.8845873,0.85280937,0.9381995
36,0.99812114,0.9302682,0.8587838,0.9258893
37,0.997835,0.8883424,0.8719599,0.9498998
38,0.99856657,0.8577075,0.871832,0.93166405
39,0.99848914,0.8243655,0.860008,0.87921655
40,0.99861324,0.7564767,0.8789942,0.93892217
41,0.99878603,0.537931,0.8844538,0.9195231
42,0.9976135,5.3475935e-11,0.86128366,0.8983689
43,0.9986662,1.6666667e-09,0.7510917,0.86292136
44,0.998782,1.0,0.5208845,0.65625
45,0.99768716,1.0,0.73088384,0.8329298
46,0.9961681,0.86062455,0.8533222,0.90007627
47,0.99740475,0.87237316,0.89109695,0.9622093
48,0.99749273,0.852973,0.9159442,0.94373596
49,0.99749345,0.81035924,0.9075216,0.9606414
50,0.9986546,0.72677594,0.88713425,0.9476584
51,0.99917126,0.25263157,0.85980284,0.9144684
52,0.9984922,1.8867924e-10,0.6901961,0.85027725
53,0.9983534,1.0,0.6517357,0.8807786
54,0.9983998,0.96851206,0.91116846,0.9692833
55,0.9979777,0.9635391,0.91054547,0.97806525
56,0.99769694,0.94520193,0.9213079,0.9826746
57,0.9974805,0.90865713,0.9168,0.9734513
58,0.9983014,0.92685145,0.9124255,0.9738562
59,0.9987329,0.8996764,0.9188294,0.97178686
60,0.9984591,0.86455333,0.8366112,0.96090126
61,0.99891096,0.8268657,0.88842547,0.9538808
62,0.99318206,0.8653617,0.9082397,0.9625532
63,0.9962433,0.91201514,0.9154045,0.9707415
64,0.9969464,0.93240297,0.8674157,0.94561934
65,0.99740434,0.94680554,0.8544153,0.9586843
66,0.9980284,0.9353528,0.86450285,0.9569245
67,0.9981852,0.90429384,0.8031609,0.94110113
68,0.993958,0.48371336,0.29255775,0.6966292
69,0.9948455,3.7313434e-11,0.7705383,0.9067961
70,0.9969853,0.8935587,0.8268239,0.77905494
71,0.99769604,0.8488024,0.8431523,0.7936508
72,0.99546146,0.5714286,0.78688526,0.7509778
73,0.99320227,2.1276595e-11,0.7697133,0.7842401
74,0.98882926,5.050505e-11,8.795075e-12,8.849557e-11
75,0.99107087,1.1764706e-10,9.560229e-12,3.4482758e-10
76,0.99354225,7.692308e-10,1.2077295e-11,1.0
77,0.99587077,1.0,1.8552876e-11,1.0
78,1.0,1.0,1.0,1.0
79,0.9942079,2.538071e-11,0.8039359,0.85631627
80,0.99583817,0.7883212,0.82871455,0.9294781
81,0.9976449,0.42384106,0.8623701,0.960443
82,0.99794155,0.11881188,0.8478803,0.958705
83,0.99354184,0.039270688,0.72675735,0.9695162
84,0.9948257,2.0120725e-11,0.6687598,0.9638909
85,0.99491215,2.0920501e-11,0.75660896,0.9545667
86,1.0,1.0,1.0,1.0
87,0.99637914,0.870094,0.80535173,0.8809219
88,0.9971343,0.92876166,0.8325679,0.9287197
89,0.9971649,0.9006781,0.8187134,0.9243827
90,0.9957862,0.7837838,0.72467226,0.8991507
91,0.9932113,0.050808314,0.5762474,0.92589283
92,0.99566674,0.09047619,0.75837743,0.95497185
93,0.9949935,2.136752e-11,0.6772229,0.93333334
94,0.9974965,1.0,0.34210527,6.5359475e-11
95,0.9829209,1.3623978e-11,1.5948963e-11,1.1904762e-11
96,0.9983433,0.9585359,0.85412025,0.9529412
97,0.9984724,0.9529086,0.86341465,0.9357646
98,0.9982585,0.89117235,0.8372093,0.96510637
99,0.9981722,0.9031746,0.881133,0.96244365
100,0.9983509,0.8492393,0.8358209,0.9179149
101,0.997772,6.0975607e-11,0.8416565,0.9191994
102,0.999006,3.3333333e-10,0.8515555,0.9677981
103,0.99893934,1.0,0.52680653,0.8598131
104,0.9993205,1.0,1.3157894e-10,7.692308e-10
105,0.99478817,2.8169014e-11,0.8238231,0.8993197
106,0.99536896,0.80744684,0.87093335,0.9105786
107,0.99534374,0.7373396,0.84227127,0.891516
108,0.99472857,0.7423581,0.7916778,0.8965517
109,0.99114424,0.73587084,0.6286732,0.8368522
110,0.9971288,0.674189,0.77352846,0.83530676
111,0.99636096,0.32911393,0.682495,0.69803923
112,0.9977127,1.7241379e-10,0.82834333,0.77310926
113,0.998129,2.5641025e-10,0.78993225,0.8943089
114,0.9989739,1.0,0.6810345,7.142857e-10
115,0.9987045,0.96397275,0.92210937,0.9718776
116,0.9988338,0.96304345,0.928314,0.98248905
117,0.99915123,1.0,0.6185567,1.0
118,0.9986922,0.93036866,0.9330127,0.97096676
119,0.9983828,0.9009498,0.91302854,0.9691969
120,0.9981031,0.87536234,0.89689976,0.96741706
121,0.99844754,0.832021,0.91606534,0.97139454
122,0.99925023,0.8818011,0.92247725,0.96083915
123,0.9991288,0.9129594,0.90230733,0.9600355
124,0.9992473,0.85148513,0.8875154,0.9448233
125,0.99913365,1.5873015e-10,0.85907334,0.92109036
126,0.99724877,0.90909094,0.73423785,0.91392404
127,0.99778587,0.94266176,0.7322498,0.92736703
128,0.9985154,0.89910775,0.8339844,0.93125
129,0.99722624,0.5874674,0.8262454,0.93755496
130,0.9990919,0.84931505,0.874269,0.9617117
131,0.9990039,0.7628866,0.78294575,0.9381599
132,0.9987491,8.264463e-11,0.5882353,0.8596491
133,0.9982934,0.95068717,0.818038,0.94840044
134,0.9981938,0.9493333,0.7813505,0.933256
135,0.99898106,0.9466901,0.8587056,0.96225286
136,0.9988016,0.9095792,0.81770283,0.95580524
137,0.99843216,0.7454844,0.75073314,0.8950159
138,0.9966641,5.319149e-11,0.37800688,0.25
139,0.989946,8.2781455e-12,0.86966044,0.92395747
140,0.9985328,0.9347647,0.9062965,0.9356153
141,0.99850416,0.60784316,0.8795473,0.8695652
142,0.99863535,0.65707433,0.84884715,0.83984375
143,0.9985662,0.24242425,0.8135593,0.8448276
144,0.9966548,5.952381e-11,4.3103448e-11,2.7027028e-10
145,0.9987239,0.9502716,0.8871365,0.9208861
146,0.9980722,0.90586144,0.90045476,0.95187163
147,0.9984831,0.91460335,0.91858035,0.95555556
148,0.9981011,0.86215866,0.92134833,0.94772345
149,0.9988834,0.89035916,0.9349504,0.9550781
150,0.9990444,0.86821705,0.94287366,0.96089387
151,0.9989513,0.8780488,0.9139226,0.91636366
152,0.9986297,0.7906977,0.8872077,0.9006024
153,0.99583554,1.0,0.64735514,0.80927837
154,0.9960437,0.82767296,0.81279254,0.8343868
155,0.9984122,0.9099723,0.8559727,0.7479675
156,0.9969934,0.82846004,0.793507,0.75739646
157,0.99218816,5.1546392e-11,0.6775659,0.15658364
158,0.99706024,0.18039216,0.84281236,0.787172
159,0.9976358,2.4390243e-10,0.800905,0.65625
160,0.9955676,1.0,0.1453958,2.0408163e-10
161,0.9985942,1.0,5.4347825e-11,1.0
162,0.9988954,1.0,0.8170845,0.8992537
163,0.9966339,0.7335907,0.86744964,0.91065294
164,0.9982536,0.88659793,0.8559464,0.9346049
165,0.99867463,0.8215417,0.857404,0.9436435
166,0.9965488,0.4110345,0.89440995,0.93296856
167,0.99534285,2.1413276e-11,0.7975309,0.9597855
168,0.9996087,1.0,0.8369565,0.7936508
169,0.9981074,0.9602377,0.9083569,0.97082555
170,0.9979864,0.95819396,0.90953207,0.9765426
171,0.99811435,0.9388049,0.91459185,0.9674507
172,0.99847686,0.8872086,0.8909034,0.9604552
173,0.99724495,0.7396963,0.8354525,0.95922226
174,0.9974586,0.69417477,0.85773027,0.97390854
175,0.9978629,0.70612246,0.8956373,0.98216987
176,0.99920267,0.8736842,0.9246612,0.9822635
177,0.99895376,1.0,0.86657494,0.9611399
178,0.9992441,1.0,0.83777237,0.9403973
179,0.99785125,0.947245,0.89973843,0.9671916
180,0.9958072,0.9031332,0.8896238,0.9697561
181,0.99612135,0.89752835,0.88380283,0.9764268
182,0.9965681,0.88456714,0.87931037,0.97638845
183,0.99757993,0.91645783,0.82834333,0.96309966
184,0.9980336,0.89680773,0.865285,0.96752304
185,0.9985863,0.9164468,0.86696374,0.94104177
186,0.9985398,0.8417391,0.8356964,0.9326845
187,0.9985063,0.37931034,0.7978022,0.9086229
188,0.98114204,9.259259e-11,1.1415525e-11,6.9348125e-12
189,0.98935205,2.3364486e-11,0.5345268,0.71243197
190,0.9978682,0.9390503,0.8503937,0.97138476
191,0.9979511,0.93526405,0.8749419,0.9768928
192,0.9976114,0.8580097,0.8799193,0.9773939
193,0.99750936,0.83554816,0.8552865,0.97546506
194,0.9966245,3.215434e-11,0.80929095,0.9638486
195,0.9972688,3.7453183e-11,0.8617318,0.97054976
196,0.9986819,2.5e-10,0.80546623,0.95708156
197,0.9919477,1.0,2.2075055e-11,1.6835016e-11
198,0.99770594,1.0,4.56621e-11,1.2345679e-10
199,0.99702543,0.9305671,0.8850257,0.9632238
200,0.997454,0.92667377,0.88987625,0.9555178
