epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.0557,0.0425,0.1081,0.0539,0.0403,0.0793,0.0932,0.0315,0.2264,0.0521,0.0288,0.2394
1,0.1113,0.1317,0.3386,0.0686,0.1274,0.2280,0.1139,0.2813,0.2707,0.1238,0.2915,0.2910
2,0.1965,0.3502,0.2219,0.1272,0.3145,0.1843,0.1646,0.3351,0.2173,0.2008,0.3461,0.2423
3,0.2682,0.3669,0.4092,0.1717,0.2969,0.3046,0.1687,0.2460,0.4419,0.2307,0.2557,0.4846
4,0.3132,0.0885,0.5547,0.2164,0.0657,0.3265,0.2347,0.0083,0.3792,0.2582,0.0088,0.4060
5,0.3336,0.0084,0.6177,0.2301,0.0193,0.3673,0.2715,0.0219,0.5105,0.3182,0.0238,0.5454
6,0.3725,0.1622,0.7140,0.2302,0.0998,0.4344,0.2490,0.1631,0.5572,0.2914,0.1667,0.5958
7,0.3380,0.3876,0.8198,0.2246,0.2447,0.5130,0.2970,0.2535,0.6605,0.2964,0.2544,0.7030
8,0.3624,0.4595,0.8658,0.2452,0.2728,0.5688,0.2283,0.3258,0.6645,0.2553,0.3468,0.7224
9,0.5915,0.5871,0.8743,0.4158,0.3752,0.5855,0.5176,0.6099,0.7631,0.6925,0.6561,0.8308
10,0.6582,0.7519,0.9036,0.4439,0.5013,0.6325,0.4492,0.6119,0.7131,0.6373,0.6518,0.7961
11,0.7102,0.7927,0.9191,0.4871,0.5680,0.6870,0.5191,0.6729,0.7834,0.7050,0.7218,0.8542
12,0.7566,0.8283,0.9332,0.5082,0.5746,0.6838,0.5017,0.6574,0.7802,0.6449,0.7136,0.8483
13,0.7727,0.8281,0.9337,0.5200,0.5872,0.7006,0.5616,0.6861,0.8022,0.7311,0.7240,0.8521
14,0.7212,0.7860,0.9134,0.4981,0.5542,0.6767,0.5598,0.6181,0.7151,0.7302,0.6577,0.7544
15,0.7666,0.8339,0.9384,0.5606,0.6026,0.7129,0.6109,0.6633,0.7884,0.7469,0.7159,0.8469
16,0.8015,0.8434,0.9417,0.5528,0.6014,0.7078,0.5807,0.6517,0.7834,0.7313,0.7021,0.8473
17,0.7803,0.8133,0.9234,0.5167,0.5810,0.6893,0.4862,0.5832,0.6652,0.6416,0.6320,0.7496
18,0.7307,0.7858,0.9159,0.5025,0.5624,0.6648,0.5169,0.6480,0.7627,0.6884,0.6970,0.8270
19,0.8074,0.8349,0.9369,0.5561,0.6057,0.7046,0.6090,0.6835,0.7947,0.7577,0.7302,0.8560
20,0.8247,0.8571,0.9438,0.5904,0.6306,0.7369,0.5660,0.6987,0.8071,0.7250,0.7538,0.8770
21,0.8478,0.8633,0.9465,0.5824,0.6365,0.7334,0.5728,0.6820,0.7900,0.7469,0.7328,0.8674
22,0.8123,0.8362,0.9323,0.5512,0.6112,0.7186,0.5009,0.6158,0.7623,0.6846,0.6542,0.8147
23,0.7482,0.8120,0.9294,0.4977,0.5886,0.6931,0.5451,0.6406,0.7901,0.7072,0.6937,0.8470
24,0.8323,0.8488,0.9424,0.5602,0.6205,0.7173,0.6018,0.7243,0.8282,0.7195,0.7722,0.8931
25,0.8643,0.8677,0.9485,0.5898,0.6415,0.7383,0.6297,0.6888,0.8016,0.7552,0.7447,0.8681
26,0.8835,0.8743,0.9501,0.5844,0.6530,0.7417,0.6033,0.7023,0.8083,0.7658,0.7431,0.8640
27,0.8698,0.8706,0.9471,0.6114,0.6425,0.7415,0.6176,0.6938,0.8152,0.7482,0.7553,0.8765
28,0.8790,0.8691,0.9485,0.6072,0.6495,0.7461,0.6167,0.6598,0.7831,0.7550,0.7195,0.8572
29,0.8201,0.8352,0.9320,0.6105,0.6302,0.7365,0.5518,0.5767,0.7474,0.7131,0.6256,0.8316
30,0.7071,0.7652,0.9034,0.5220,0.5790,0.6895,0.5946,0.6752,0.8046,0.7312,0.7173,0.8591
31,0.8013,0.8279,0.9331,0.5858,0.6467,0.7375,0.6424,0.6855,0.8002,0.7745,0.7370,0.8559
32,0.8692,0.8605,0.9461,0.6464,0.6797,0.7669,0.6447,0.7087,0.8125,0.7712,0.7684,0.8838
