epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
49,0.8153,0.8272,0.8949,0.8328,0.8321,0.8992,0.7915,0.8117,0.8749,0.8702,0.8494,0.9219
50,0.8153,0.8331,0.8955,0.8255,0.8375,0.9029,0.7766,0.8082,0.8795,0.8684,0.8449,0.9182
51,0.8003,0.8203,0.8858,0.8090,0.8359,0.8960,0.7114,0.7381,0.8504,0.8245,0.7799,0.8977
52,0.7940,0.8176,0.8898,0.8063,0.8233,0.8939,0.7285,0.7963,0.8841,0.8246,0.8303,0.9187
53,0.8003,0.8281,0.8968,0.8235,0.8324,0.8943,0.7660,0.7880,0.8801,0.8511,0.8327,0.9169
54,0.7805,0.8121,0.8878,0.7976,0.8165,0.8830,0.7280,0.8092,0.8817,0.8631,0.8392,0.9241
55,0.8103,0.8253,0.8931,0.8122,0.8275,0.8948,0.7434,0.8056,0.8784,0.8488,0.8497,0.9225
56,0.8074,0.8345,0.8985,0.8156,0.8409,0.8961,0.7803,0.7885,0.8653,0.8657,0.8367,0.9186
57,0.8327,0.8402,0.9045,0.8462,0.8367,0.8984,0.7749,0.8126,0.8782,0.8761,0.8538,0.9195
58,0.8123,0.8268,0.8962,0.8259,0.8335,0.8994,0.7812,0.7949,0.8812,0.8657,0.8382,0.9221
59,0.7971,0.8202,0.8876,0.8108,0.8297,0.8927,0.7238,0.7771,0.8505,0.8368,0.8209,0.8960
60,0.8034,0.8048,0.8765,0.8030,0.8215,0.8853,0.7416,0.8021,0.8676,0.8493,0.8416,0.9159
61,0.8189,0.8324,0.8943,0.8296,0.8388,0.9006,0.7953,0.7965,0.8608,0.8784,0.8471,0.9115
62,0.8473,0.8432,0.9010,0.8561,0.8454,0.9037,0.7845,0.8120,0.8873,0.8609,0.8496,0.9244
63,0.7920,0.8088,0.8816,0.7931,0.8113,0.8766,0.7019,0.7298,0.8465,0.8289,0.7871,0.8987
64,0.8007,0.8212,0.8898,0.8137,0.8234,0.8879,0.7672,0.8041,0.8712,0.8653,0.8491,0.9154
65,0.8391,0.8361,0.9008,0.8432,0.8407,0.8946,0.7587,0.8104,0.8888,0.8518,0.8551,0.9258
66,0.8411,0.8436,0.9024,0.8414,0.8480,0.9035,0.8030,0.8280,0.8898,0.8782,0.8638,0.9281
67,0.8053,0.8248,0.8902,0.8104,0.8288,0.8912,0.7136,0.7868,0.8701,0.8298,0.8398,0.9175
68,0.8028,0.8189,0.8867,0.8101,0.8243,0.8897,0.7668,0.7466,0.8578,0.8644,0.7987,0.9006
69,0.8027,0.8316,0.8939,0.8183,0.8283,0.8981,0.7764,0.8129,0.8822,0.8575,0.8500,0.9165
70,0.8195,0.8318,0.8962,0.8274,0.8399,0.9009,0.7636,0.7901,0.8595,0.8648,0.8386,0.9090
71,0.8005,0.8168,0.8839,0.8104,0.8251,0.8858,0.7010,0.7662,0.8555,0.8270,0.8106,0.9018
72,0.8158,0.8265,0.8898,0.8109,0.8289,0.8977,0.7878,0.8181,0.8905,0.8731,0.8582,0.9241
73,0.8206,0.8222,0.8839,0.8220,0.8324,0.8991,0.7876,0.8153,0.8785,0.8639,0.8537,0.9111
74,0.8313,0.8467,0.9011,0.8427,0.8476,0.8998,0.7204,0.8025,0.8728,0.8346,0.8433,0.9141
75,0.8305,0.8363,0.9021,0.8326,0.8393,0.8988,0.7584,0.8098,0.8532,0.8706,0.8519,0.9114
76,0.8430,0.8470,0.9029,0.8413,0.8456,0.9029,0.7788,0.8248,0.8860,0.8751,0.8583,0.9247
77,0.8463,0.8521,0.9088,0.8491,0.8567,0.9040,0.7468,0.7952,0.8693,0.8616,0.8456,0.9119
78,0.7929,0.8098,0.8787,0.8065,0.8144,0.8874,0.7625,0.8053,0.8732,0.8558,0.8480,0.9184
79,0.8223,0.8314,0.8913,0.8169,0.8346,0.8962,0.7010,0.7861,0.8620,0.7865,0.8307,0.9095
80,0.8026,0.8243,0.8848,0.8087,0.8261,0.8913,0.7511,0.8226,0.8900,0.8676,0.8535,0.9287
81,0.8035,0.8269,0.8967,0.8106,0.8321,0.8911,0.7234,0.7833,0.8468,0.8047,0.8292,0.9017
82,0.8160,0.8391,0.8989,0.8270,0.8387,0.8974,0.7883,0.8207,0.8799,0.8683,0.8597,0.9200
83,0.8376,0.8445,0.9009,0.8369,0.8477,0.9065,0.7219,0.8224,0.8868,0.8590,0.8613,0.9242
84,0.8025,0.8218,0.8968,0.7964,0.8260,0.8931,0.7359,0.8185,0.8861,0.8623,0.8521,0.9260
85,0.8201,0.8409,0.9015,0.8252,0.8462,0.9041,0.7847,0.8021,0.8847,0.8747,0.8383,0.9174
86,0.8168,0.8313,0.8904,0.8227,0.8359,0.8967,0.7421,0.8151,0.8597,0.8687,0.8511,0.8979
87,0.8057,0.8268,0.8892,0.8105,0.8228,0.8873,0.7691,0.8061,0.8836,0.8595,0.8474,0.9253
88,0.8248,0.8370,0.8985,0.8354,0.8471,0.9057,0.7090,0.7554,0.8273,0.8091,0.8077,0.8802
89,0.8059,0.8358,0.9001,0.8170,0.8333,0.8952,0.7538,0.7867,0.8821,0.8332,0.8403,0.9194
90,0.8409,0.8495,0.9071,0.8442,0.8516,0.9098,0.7919,0.8153,0.8895,0.8725,0.8609,0.9257
91,0.8583,0.8581,0.9103,0.8487,0.8594,0.9137,0.7903,0.8146,0.8909,0.8691,0.8622,0.9271
92,0.8516,0.8611,0.9161,0.8613,0.8629,0.9159,0.8004,0.8168,0.8925,0.8758,0.8632,0.9280
93,0.8598,0.8637,0.9152,0.8599,0.8677,0.9182,0.7993,0.8186,0.8944,0.8769,0.8643,0.9271
94,0.8626,0.8654,0.9179,0.8646,0.8668,0.9142,0.7973,0.8141,0.8906,0.8769,0.8615,0.9280
95,0.8650,0.8653,0.9174,0.8680,0.8665,0.9153,0.8010,0.8188,0.8908,0.8781,0.8647,0.9287
96,0.8715,0.8695,0.9154,0.8725,0.8721,0.9175,0.7957,0.8229,0.8848,0.8763,0.8669,0.9272
97,0.8753,0.8701,0.9197,0.8758,0.8749,0.9156,0.7982,0.8217,0.8946,0.8788,0.8647,0.9287
98,0.8700,0.8743,0.9136,0.8787,0.8722,0.9188,0.8031,0.8252,0.8938,0.8786,0.8674,0.9291
99,0.8769,0.8726,0.9158,0.8734,0.8760,0.9187,0.8068,0.8280,0.8917,0.8781,0.8676,0.9296
100,0.8804,0.8743,0.9183,0.8743,0.8765,0.9186,0.7954,0.8294,0.8964,0.8767,0.8676,0.9300
101,0.8791,0.8739,0.9185,0.8867,0.8755,0.9195,0.8120,0.8281,0.8927,0.8819,0.8687,0.9304
102,0.8794,0.8758,0.9201,0.8764,0.8766,0.9191,0.8007,0.8274,0.8886,0.8761,0.8684,0.9260
103,0.8776,0.8794,0.9200,0.8815,0.8791,0.9218,0.8090,0.8292,0.8890,0.8798,0.8698,0.9295
104,0.8822,0.8804,0.9238,0.8841,0.8789,0.9217,0.8018,0.8298,0.8897,0.8790,0.8702,0.9274
105,0.8870,0.8813,0.9203,0.8783,0.8810,0.9203,0.8047,0.8298,0.8837,0.8792,0.8693,0.9257
106,0.8843,0.8767,0.9187,0.8851,0.8801,0.9213,0.7983,0.8269,0.8933,0.8805,0.8693,0.9298
107,0.8818,0.8786,0.9226,0.8890,0.8825,0.9225,0.8000,0.8299,0.8917,0.8800,0.8694,0.9300
108,0.8894,0.8822,0.9254,0.8894,0.8839,0.9248,0.7946,0.8289,0.8888,0.8802,0.8683,0.9298
109,0.8929,0.8823,0.9237,0.8867,0.8826,0.9209,0.8089,0.8281,0.8947,0.8838,0.8694,0.9326
110,0.8862,0.8840,0.9245,0.8917,0.8841,0.9214,0.8019,0.8334,0.8885,0.8816,0.8708,0.9300
111,0.8965,0.8865,0.9257,0.8947,0.8863,0.9251,0.8077,0.8295,0.8939,0.8840,0.8701,0.9305
112,0.8954,0.8853,0.9205,0.8980,0.8864,0.9254,0.8016,0.8288,0.8906,0.8820,0.8713,0.9308
113,0.8936,0.8827,0.9238,0.8949,0.8847,0.9240,0.7963,0.8288,0.8945,0.8838,0.8709,0.9298
114,0.8881,0.8852,0.9227,0.8950,0.8877,0.9258,0.8096,0.8223,0.8945,0.8860,0.8683,0.9314
115,0.8963,0.8847,0.9235,0.8966,0.8868,0.9249,0.8026,0.8326,0.8896,0.8791,0.8718,0.9292
116,0.9033,0.8875,0.9260,0.9032,0.8867,0.9234,0.8004,0.8296,0.8933,0.8821,0.8712,0.9312
117,0.8954,0.8893,0.9263,0.8916,0.8879,0.9251,0.8038,0.8318,0.8872,0.8813,0.8718,0.9274
118,0.8943,0.8875,0.9170,0.9014,0.8882,0.9295,0.8082,0.8280,0.8944,0.8853,0.8708,0.9304
