,ensemble,model_0,model_1
DSC0,0.9974115490913391,0.9972023963928223,0.9972663521766663
DSC1,0.7099639773368835,0.6821720600128174,0.6952738165855408
DSC2,0.7666577696800232,0.7590206861495972,0.7617975473403931
DSC3,0.8559110760688782,0.8499637246131897,0.8529640436172485
