epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.0525,0.0543,0.1746,0.0000,0.0000,0.0000,0.0955,0.0773,0.2518,0.0521,0.0766,0.2729
1,0.1512,0.3149,0.3606,0.0000,0.0000,0.0000,0.1377,0.3192,0.4199,0.1513,0.3342,0.4622
2,0.2684,0.0826,0.6264,0.0000,0.0000,0.0000,0.2099,0.0141,0.5431,0.2088,0.0010,0.6090
3,0.3400,0.0560,0.7002,0.0000,0.0000,0.0000,0.2542,0.1499,0.5259,0.2822,0.1552,0.5618
4,0.3619,0.2480,0.7863,0.0000,0.0000,0.0000,0.2338,0.3238,0.6531,0.2886,0.3480,0.7373
5,0.3389,0.5512,0.8531,0.0000,0.0000,0.0000,0.1886,0.3945,0.6167,0.1827,0.4456,0.7106
6,0.5632,0.7586,0.9125,0.0000,0.0000,0.0000,0.4347,0.6555,0.7617,0.6207,0.6938,0.8327
7,0.6914,0.7883,0.9169,0.0000,0.0000,0.0000,0.3026,0.5669,0.7145,0.3111,0.6000,0.7766
8,0.7248,0.8042,0.9252,0.0000,0.0000,0.0000,0.5209,0.5415,0.6947,0.6440,0.6002,0.7713
9,0.7375,0.8167,0.9308,0.0000,0.0000,0.0000,0.4629,0.5715,0.6976,0.5008,0.6375,0.7778
10,0.7703,0.8299,0.9368,0.0000,0.0000,0.0000,0.5473,0.6472,0.7663,0.6385,0.6976,0.8277
11,0.7401,0.7926,0.9197,0.0000,0.0000,0.0000,0.5129,0.6083,0.7436,0.5812,0.6563,0.8126
12,0.7734,0.8062,0.9260,0.0000,0.0000,0.0000,0.5136,0.5651,0.7256,0.5809,0.6111,0.7879
13,0.8056,0.8356,0.9382,0.0000,0.0000,0.0000,0.5846,0.6636,0.7775,0.6599,0.7198,0.8404
14,0.8451,0.8582,0.9454,0.0000,0.0000,0.0000,0.5748,0.6500,0.7765,0.6928,0.7038,0.8326
15,0.8429,0.8555,0.9444,0.0000,0.0000,0.0000,0.4112,0.5084,0.6706,0.5658,0.5446,0.7221
16,0.7505,0.7867,0.9140,0.0000,0.0000,0.0000,0.5827,0.5715,0.6879,0.6910,0.6150,0.7568
17,0.8276,0.8391,0.9396,0.0000,0.0000,0.0000,0.5959,0.7034,0.8018,0.6858,0.7501,0.8617
18,0.8718,0.8625,0.9478,0.0000,0.0000,0.0000,0.5391,0.6558,0.7789,0.6154,0.7120,0.8513
19,0.8389,0.8570,0.9448,0.0000,0.0000,0.0000,0.5859,0.6819,0.7873,0.6642,0.7239,0.8443
20,0.8351,0.8501,0.9414,0.0000,0.0000,0.0000,0.5333,0.6649,0.7638,0.5789,0.7229,0.8452
21,0.8587,0.8589,0.9476,0.0000,0.0000,0.0000,0.5393,0.6657,0.7737,0.5951,0.7299,0.8407
22,0.8030,0.8113,0.9231,0.0000,0.0000,0.0000,0.5694,0.6086,0.7193,0.6592,0.6724,0.7967
23,0.8463,0.8404,0.9386,0.0000,0.0000,0.0000,0.5676,0.6873,0.8068,0.6142,0.7345,0.8622
24,0.8820,0.8658,0.9475,0.0000,0.0000,0.0000,0.5812,0.6855,0.7936,0.6509,0.7421,0.8537
25,0.8475,0.8528,0.9427,0.0000,0.0000,0.0000,0.5707,0.6482,0.7661,0.6690,0.7014,0.8426
26,0.8543,0.8525,0.9435,0.0000,0.0000,0.0000,0.5945,0.6855,0.7858,0.6502,0.7352,0.8530
27,0.8766,0.8709,0.9506,0.0000,0.0000,0.0000,0.5853,0.6702,0.7855,0.6893,0.7259,0.8556
28,0.8997,0.8793,0.9525,0.0000,0.0000,0.0000,0.5904,0.6866,0.7861,0.6917,0.7468,0.8656
29,0.8046,0.8200,0.9266,0.0000,0.0000,0.0000,0.4897,0.5983,0.7367,0.5066,0.6452,0.8066
30,0.8286,0.8334,0.9372,0.0000,0.0000,0.0000,0.5222,0.6943,0.7918,0.5752,0.7547,0.8735
31,0.8682,0.8659,0.9496,0.0000,0.0000,0.0000,0.5868,0.6696,0.7860,0.6874,0.7351,0.8665
32,0.8956,0.8741,0.9517,0.0000,0.0000,0.0000,0.5719,0.6788,0.8002,0.7259,0.7358,0.8707
33,0.8612,0.8583,0.9463,0.0000,0.0000,0.0000,0.5319,0.6904,0.7923,0.5372,0.7454,0.8623
34,0.8504,0.8602,0.9446,0.0000,0.0000,0.0000,0.5992,0.6069,0.7433,0.6597,0.6549,0.8115
35,0.8973,0.8789,0.9511,0.0000,0.0000,0.0000,0.6160,0.6944,0.7906,0.6828,0.7559,0.8621
36,0.9039,0.8868,0.9549,0.0000,0.0000,0.0000,0.5892,0.6584,0.7866,0.6351,0.7094,0.8544
37,0.8708,0.8748,0.9515,0.0000,0.0000,0.0000,0.4660,0.5789,0.7158,0.6088,0.6376,0.7915
38,0.7842,0.8145,0.9284,0.0000,0.0000,0.0000,0.5946,0.6387,0.7687,0.6222,0.6974,0.8490
39,0.8742,0.8693,0.9491,0.0000,0.0000,0.0000,0.5899,0.7069,0.8028,0.6264,0.7659,0.8695
40,0.9044,0.8833,0.9505,0.0000,0.0000,0.0000,0.5745,0.6923,0.7996,0.6114,0.7420,0.8597
41,0.8979,0.8845,0.9544,0.0000,0.0000,0.0000,0.5777,0.7023,0.7959,0.6343,0.7547,0.8706
42,0.7825,0.8064,0.9223,0.0000,0.0000,0.0000,0.5955,0.7061,0.8044,0.7460,0.7432,0.8464
43,0.8349,0.8530,0.9437,0.0000,0.0000,0.0000,0.6620,0.6932,0.8120,0.7490,0.7446,0.8763
44,0.8866,0.8779,0.9511,0.0000,0.0000,0.0000,0.5711,0.6879,0.8048,0.6018,0.7412,0.8673
45,0.8973,0.8836,0.9527,0.0000,0.0000,0.0000,0.6375,0.7056,0.8061,0.6909,0.7588,0.8657
46,0.8703,0.8669,0.9461,0.0000,0.0000,0.0000,0.5962,0.7030,0.8046,0.6613,0.7514,0.8619
47,0.8914,0.8826,0.9535,0.0000,0.0000,0.0000,0.5926,0.6861,0.8046,0.6273,0.7362,0.8650
48,0.9001,0.8875,0.9543,0.0000,0.0000,0.0000,0.6191,0.6896,0.8128,0.7063,0.7423,0.8741
49,0.7982,0.8296,0.9334,0.0000,0.0000,0.0000,0.5680,0.6620,0.7543,0.6728,0.7108,0.8088
50,0.8731,0.8730,0.9516,0.0000,0.0000,0.0000,0.5878,0.6927,0.7691,0.7098,0.7616,0.8550
51,0.8885,0.8816,0.9527,0.0000,0.0000,0.0000,0.6095,0.6996,0.8020,0.6841,0.7544,0.8537
52,0.9026,0.8928,0.9573,0.0000,0.0000,0.0000,0.6180,0.6648,0.7922,0.6707,0.7103,0.8428
53,0.8960,0.8933,0.9574,0.0000,0.0000,0.0000,0.5833,0.6866,0.7948,0.6546,0.7357,0.8504
54,0.8932,0.8912,0.9577,0.0000,0.0000,0.0000,0.5748,0.6890,0.7790,0.6093,0.7420,0.8391
55,0.8198,0.8365,0.9368,0.0000,0.0000,0.0000,0.5711,0.6485,0.7793,0.6729,0.6927,0.8407
56,0.8318,0.8528,0.9420,0.0000,0.0000,0.0000,0.6206,0.7131,0.8151,0.7155,0.7644,0.8700
57,0.8921,0.8852,0.9553,0.0000,0.0000,0.0000,0.5732,0.7088,0.7987,0.6063,0.7561,0.8559
58,0.9032,0.8936,0.9571,0.0000,0.0000,0.0000,0.5048,0.6948,0.7660,0.4976,0.7559,0.8328
59,0.9093,0.8966,0.9580,0.0000,0.0000,0.0000,0.5893,0.6690,0.7876,0.6605,0.7277,0.8570
60,0.8963,0.8955,0.9577,0.0000,0.0000,0.0000,0.5366,0.6777,0.7857,0.5673,0.7382,0.8626
61,0.8983,0.8942,0.9573,0.0000,0.0000,0.0000,0.5682,0.6891,0.7964,0.7045,0.7319,0.8591
62,0.8212,0.8500,0.9415,0.0000,0.0000,0.0000,0.5983,0.7188,0.8096,0.6635,0.7672,0.8695
63,0.8366,0.8496,0.9394,0.0000,0.0000,0.0000,0.6560,0.6593,0.7730,0.7493,0.7130,0.8424
64,0.8771,0.8728,0.9511,0.0000,0.0000,0.0000,0.6606,0.6793,0.7836,0.7103,0.7292,0.8420
65,0.8669,0.8691,0.9490,0.0000,0.0000,0.0000,0.6536,0.6858,0.7926,0.7292,0.7340,0.8498
66,0.9037,0.8928,0.9573,0.0000,0.0000,0.0000,0.6349,0.6874,0.7910,0.6900,0.7498,0.8523
67,0.9144,0.8999,0.9605,0.0000,0.0000,0.0000,0.5985,0.7187,0.7968,0.6269,0.7714,0.8603
68,0.8680,0.8760,0.9496,0.0000,0.0000,0.0000,0.5705,0.6559,0.7607,0.6220,0.7039,0.8024
69,0.8739,0.8807,0.9541,0.0000,0.0000,0.0000,0.6164,0.6886,0.8096,0.6729,0.7505,0.8688
70,0.9180,0.9018,0.9609,0.0000,0.0000,0.0000,0.6212,0.7187,0.8116,0.6887,0.7723,0.8775
71,0.9150,0.9013,0.9594,0.0000,0.0000,0.0000,0.5450,0.6519,0.7750,0.5841,0.7037,0.8408
72,0.9088,0.8983,0.9593,0.0000,0.0000,0.0000,0.6048,0.6670,0.8025,0.6878,0.7192,0.8691
73,0.9095,0.9000,0.9598,0.0000,0.0000,0.0000,0.6332,0.6807,0.8040,0.6968,0.7335,0.8650
74,0.8118,0.8461,0.9381,0.0000,0.0000,0.0000,0.5104,0.5978,0.7860,0.5886,0.6470,0.8509
75,0.8660,0.8739,0.9511,0.0000,0.0000,0.0000,0.6322,0.6845,0.7958,0.7028,0.7411,0.8640
76,0.9045,0.8914,0.9574,0.0000,0.0000,0.0000,0.6628,0.6708,0.7901,0.7310,0.7305,0.8587
77,0.9095,0.9024,0.9597,0.0000,0.0000,0.0000,0.6226,0.6859,0.7841,0.6753,0.7429,0.8555
78,0.9269,0.9046,0.9610,0.0000,0.0000,0.0000,0.6058,0.6867,0.7920,0.6846,0.7407,0.8619
79,0.9048,0.9039,0.9596,0.0000,0.0000,0.0000,0.5963,0.6758,0.8027,0.6541,0.7235,0.8592
80,0.8877,0.8920,0.9595,0.0000,0.0000,0.0000,0.5856,0.6929,0.7952,0.7022,0.7411,0.8710
81,0.7930,0.8327,0.9336,0.0000,0.0000,0.0000,0.5849,0.7174,0.8144,0.6386,0.7698,0.8808
82,0.8907,0.8897,0.9564,0.0000,0.0000,0.0000,0.6566,0.7025,0.8209,0.7355,0.7486,0.8834
83,0.9063,0.9004,0.9604,0.0000,0.0000,0.0000,0.6489,0.6932,0.8083,0.7115,0.7450,0.8794
84,0.9111,0.9013,0.9603,0.0000,0.0000,0.0000,0.6208,0.7288,0.8041,0.6854,0.7792,0.8697
85,0.9258,0.9047,0.9625,0.0000,0.0000,0.0000,0.6158,0.7102,0.8061,0.6748,0.7597,0.8673
86,0.9193,0.9073,0.9617,0.0000,0.0000,0.0000,0.5787,0.6647,0.7946,0.6432,0.7112,0.8604
87,0.8564,0.8788,0.9519,0.0000,0.0000,0.0000,0.6220,0.6121,0.7177,0.7043,0.6723,0.7869
88,0.8423,0.8618,0.9468,0.0000,0.0000,0.0000,0.6373,0.7147,0.8130,0.6868,0.7654,0.8722
89,0.9074,0.9001,0.9611,0.0000,0.0000,0.0000,0.6281,0.6861,0.8050,0.6655,0.7452,0.8674
90,0.9277,0.9143,0.9656,0.0000,0.0000,0.0000,0.6330,0.7037,0.8046,0.6641,0.7611,0.8713
91,0.9335,0.9178,0.9667,0.0000,0.0000,0.0000,0.6338,0.7051,0.8039,0.6693,0.7615,0.8709
