,0,1,2,3
0,0.99336517,0.39779916,0.6,0.44730678
1,0.99849993,0.9,0.8679866,0.9529667
2,0.99818254,0.9043563,0.7288758,0.92043173
3,0.99531865,0.671186,0.7976825,0.902374
4,0.9966315,0.9121826,0.8172234,0.91972804
5,0.99819213,0.8900737,0.88423496,0.96696085
6,0.99656135,0.3514793,0.78220004,0.88018435
7,0.99539316,0.16588235,0.7533558,0.9428305
8,0.9975538,0.87545186,0.79631793,0.9416869
9,0.99544716,0.8527144,0.7970921,0.8908838
10,0.99105245,0.05203762,0.4004436,0.41711643
11,0.9944543,0.6021604,0.70060885,0.8892588
12,0.9976713,0.79563564,0.8423114,0.8922229
13,0.9940393,0.6607562,0.6356628,0.84581083
14,0.9973139,0.8869908,0.7932886,0.88629335
15,0.9971245,0.828818,0.80600435,0.8838145
16,0.99648046,0.8407627,0.74541306,0.9219904
17,0.9984815,0.948095,0.8698362,0.9551892
18,0.9983399,0.925572,0.8515943,0.9625576
19,0.998418,0.8632026,0.792497,0.8663143
20,0.99826545,0.7857441,0.80379844,0.8678425
21,0.99836487,0.9338517,0.8586083,0.95857537
22,0.9970654,0.80715775,0.820126,0.95502925
23,0.99813026,0.8708316,0.7332334,0.9127662
24,0.99751794,0.8487051,0.8654737,0.9511136
