,ensemble,model_0,model_1
DSC0,0.003130282973870635,0.0030964422039687634,0.003192674368619919
DSC1,0.3698287606239319,0.37715792655944824,0.35190626978874207
DSC2,0.2554267346858978,0.24569976329803467,0.24915003776550293
DSC3,0.2830926477909088,0.30061134696006775,0.26987069845199585
